_REF_DATE_,GEO,DGUID,Statistic,Expenditures,UOM,VALUE
2011,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,325
2012,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,276
2013,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,250
2014,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,267
2015,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,180
2016,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,258
2017,British Columbia,2016A000259,Average expenditure per household,Transfer taxes and land registration fees for owned living quarters,Dollars,335
2010,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,237
2011,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,256
2012,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,291
2013,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,321
2014,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,314
2015,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,349
2016,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,291
2017,British Columbia,2016A000259,Average expenditure per household,Water and sewage for principal accommodation,Dollars,336
2010,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,864
2011,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,948
2012,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,1013
2013,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,1006
2014,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,989
2015,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,1023
2016,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,974
2017,British Columbia,2016A000259,Average expenditure per household,Electricity for principal accommodation,Dollars,1109
2010,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,671
2011,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,642
2012,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,603
2013,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,616
2014,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,659
2015,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,569
2016,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,479
2017,British Columbia,2016A000259,Average expenditure per household,Natural gas for principal accommodation,Dollars,552
2010,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,76
2011,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,68
2012,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,73
2013,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,69
2014,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,60
2015,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,79
2016,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,57
2017,British Columbia,2016A000259,Average expenditure per household,Other fuel for principal accommodation,Dollars,85
2010,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,973
2011,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,633
2012,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,1244
2013,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,896
2014,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,883
2015,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,884
2016,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,818
2017,British Columbia,2016A000259,Average expenditure per household,Owned secondary residences,Dollars,1180
2010,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,374
2011,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,265
2012,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,579
2013,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,385
2014,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,389
2015,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,311
2016,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,282
2017,British Columbia,2016A000259,Average expenditure per household,Mortgage paid for owned secondary residences,Dollars,525
2010,British Columbia,2016A000259,Average expenditure per household,Property taxes and sewage charges for owned secondary residences,Dollars,178
2011,British Columbia,2016A000259,Average expenditure per household,Property taxes and sewage charges for owned secondary residences,Dollars,142
2012,British Columbia,2016A000259,Average expenditure per household,Property taxes and sewage charges for owned secondary residences,Dollars,211
2013,British Columbia,2016A000259,Average expenditure per household,Property taxes and sewage charges for owned secondary residences,Dollars,152
2010,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,51
2011,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,34
2012,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,56
2013,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,47
2014,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,42
2015,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,66
2016,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,49
2017,British Columbia,2016A000259,Average expenditure per household,Insurance premiums for owned secondary residences,Dollars,70
2010,British Columbia,2016A000259,Average expenditure per household,"Electricity, water and fuel for owned secondary residences",Dollars,56
2011,British Columbia,2016A000259,Average expenditure per household,"Electricity, water and fuel for owned secondary residences",Dollars,50
2012,British Columbia,2016A000259,Average expenditure per household,"Electricity, water and fuel for owned secondary residences",Dollars,67
2013,British Columbia,2016A000259,Average expenditure per household,"Electricity, water and fuel for owned secondary residences",Dollars,68
2010,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,315
2011,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,142
2012,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,331
2013,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,244
2014,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,214
2015,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,247
2016,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,261
2017,British Columbia,2016A000259,Average expenditure per household,Other expenses for owned secondary residences,Dollars,351
2012,British Columbia,2016A000259,Average expenditure per household,Other owned properties,Dollars,205
2014,British Columbia,2016A000259,Average expenditure per household,Other owned properties,Dollars,493
2015,British Columbia,2016A000259,Average expenditure per household,Other owned properties,Dollars,630
2017,British Columbia,2016A000259,Average expenditure per household,Other owned properties,Dollars,592
2010,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,518
2011,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,490
2012,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,578
2013,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,746
2014,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,785
2015,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,806
2016,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,757
2017,British Columbia,2016A000259,Average expenditure per household,Accommodation away from home,Dollars,814
2010,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,427
2011,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,403
2012,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,447
2013,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,510
2014,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,529
2015,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,538
2016,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,541
2017,British Columbia,2016A000259,Average expenditure per household,Hotels and motels,Dollars,547
2010,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,91
2011,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,87
2012,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,131
2013,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,236
2014,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,256
2015,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,267
2016,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,216
2017,British Columbia,2016A000259,Average expenditure per household,Other accommodation away from home,Dollars,267
2010,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1388
2011,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1461
2012,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1393
2013,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1474
2014,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1525
2015,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1606
2016,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1610
2017,British Columbia,2016A000259,Average expenditure per household,Telephone,Dollars,1747
2010,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,433
2011,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,398
2012,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,382
2013,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,337
2014,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,333
2015,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,292
2016,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,247
2017,British Columbia,2016A000259,Average expenditure per household,Landline telephone services,Dollars,235
2010,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,889
2011,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,1004
2012,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,923
2013,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,1045
2014,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,1089
2015,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,1174
2016,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,1225
2017,British Columbia,2016A000259,Average expenditure per household,Cell phone and pager services,Dollars,1352
2012,British Columbia,2016A000259,Average expenditure per household,Purchase of telephones and equipment,Dollars,88
2013,British Columbia,2016A000259,Average expenditure per household,Purchase of telephones and equipment,Dollars,92
2014,British Columbia,2016A000259,Average expenditure per household,Purchase of telephones and equipment,Dollars,104
2015,British Columbia,2016A000259,Average expenditure per household,Purchase of telephones and equipment,Dollars,140
2016,British Columbia,2016A000259,Average expenditure per household,Purchase of telephones and equipment,Dollars,138
2017,British Columbia,2016A000259,Average expenditure per household,Purchase of telephones and equipment,Dollars,159
2010,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,363
2011,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,392
2012,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,406
2013,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,486
2014,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,509
2015,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,592
2016,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,633
2017,British Columbia,2016A000259,Average expenditure per household,Internet access services,Dollars,691
2010,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,9
2011,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,10
2012,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,13
2013,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,23
2014,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,74
2015,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,81
2016,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,81
2017,British Columbia,2016A000259,Average expenditure per household,On-line services,Dollars,94
2010,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,50
2011,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,84
2012,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,54
2013,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,43
2014,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,50
2015,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,85
2016,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,84
2017,British Columbia,2016A000259,Average expenditure per household,"Postal, courier and other communication services",Dollars,62
2010,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,307
2011,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,235
2012,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,200
2013,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,178
2014,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,193
2015,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,176
2016,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,180
2017,British Columbia,2016A000259,Average expenditure per household,Domestic and other custodial services (excluding child care),Dollars,238
2010,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,676
2011,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,818
2012,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,554
2013,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,616
2014,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,733
2015,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,646
2016,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,879
2017,British Columbia,2016A000259,Average expenditure per household,Pet expenses,Dollars,744
2010,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,331
2011,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,336
2012,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,228
2013,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,243
2014,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,288
2015,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,237
2016,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,361
2017,British Columbia,2016A000259,Average expenditure per household,Pet food,Dollars,353
2010,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,93
2011,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,147
2012,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,38
2013,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,71
2014,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,96
2015,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,81
2016,British Columbia,2016A000259,Average expenditure per household,Purchase of pets and pet-related goods,Dollars,99
2010,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,253
2011,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,335
2012,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,289
2013,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,302
2014,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,349
2015,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,328
2016,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,420
2017,British Columbia,2016A000259,Average expenditure per household,Veterinarian and other services,Dollars,335
2010,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,239
2011,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,209
2012,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,181
2013,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,209
2014,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,155
2015,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,175
2016,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,217
2017,British Columbia,2016A000259,Average expenditure per household,Household cleaning supplies and equipment,Dollars,217
2010,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,110
2011,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,97
2012,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,77
2013,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,112
2014,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,70
2015,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,75
2016,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,83
2017,British Columbia,2016A000259,Average expenditure per household,Detergent and other soaps,Dollars,73
2010,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,102
2011,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,87
2012,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,89
2013,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,78
2014,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,75
2015,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,77
2016,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,117
2017,British Columbia,2016A000259,Average expenditure per household,Other household cleaning supplies,Dollars,109
2010,British Columbia,2016A000259,Average expenditure per household,Cleaning equipment (non-electric),Dollars,27
2011,British Columbia,2016A000259,Average expenditure per household,Cleaning equipment (non-electric),Dollars,24
2012,British Columbia,2016A000259,Average expenditure per household,Cleaning equipment (non-electric),Dollars,16
2013,British Columbia,2016A000259,Average expenditure per household,Cleaning equipment (non-electric),Dollars,19
2014,British Columbia,2016A000259,Average expenditure per household,Cleaning equipment (non-electric),Dollars,11
2015,British Columbia,2016A000259,Average expenditure per household,Cleaning equipment (non-electric),Dollars,23
2010,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,337
2011,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,353
2012,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,353
2013,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,341
2014,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,272
2015,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,304
2016,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,328
2017,British Columbia,2016A000259,Average expenditure per household,"Paper, plastic and foil supplies",Dollars,312
2010,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,131
2011,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,129
2012,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,128
2013,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,109
2014,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,113
2015,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,115
2016,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,103
2017,Atlantic Region,2016A00011,Average expenditure per household,Stationery (excluding school supplies),Dollars,109
2010,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,174
2011,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,175
2012,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,182
2013,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,161
2014,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,172
2015,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,169
2016,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,165
2017,Atlantic Region,2016A00011,Average expenditure per household,Other paper supplies,Dollars,169
2010,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,66
2011,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,64
2012,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,64
2013,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,54
2014,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,67
2015,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,63
2016,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,55
2017,Atlantic Region,2016A00011,Average expenditure per household,Plastic and foil supplies,Dollars,61
2010,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,223
2011,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,308
2012,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,303
2013,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,282
2014,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,316
2015,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,340
2016,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,401
2017,Atlantic Region,2016A00011,Average expenditure per household,Garden supplies and services,Dollars,345
2010,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,135
2011,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,125
2012,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,123
2013,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,111
2014,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,124
2015,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,123
2016,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,169
2017,Atlantic Region,2016A00011,Average expenditure per household,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",Dollars,153
2010,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,55
2011,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,47
2012,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,51
2013,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,47
2014,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,63
2016,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,110
2017,Atlantic Region,2016A00011,Average expenditure per household,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",Dollars,55
2010,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,32
2011,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,136
2012,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,129
2013,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,123
2014,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,129
2015,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,159
2016,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,123
2017,Atlantic Region,2016A00011,Average expenditure per household,"Horticultural services, snow and garbage removal",Dollars,137
2010,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,106
2011,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,129
2012,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,125
2013,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,100
2014,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,163
2015,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,116
2016,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,150
2017,Atlantic Region,2016A00011,Average expenditure per household,Other household supplies,Dollars,119
2010,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,427
2011,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,502
2012,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,410
2013,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,429
2014,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,499
2015,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,414
2016,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,407
2017,Atlantic Region,2016A00011,Average expenditure per household,Child care,Dollars,470
2010,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,357
2011,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,440
2012,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,341
2013,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,395
2014,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,402
2015,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,374
2016,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,369
2017,Atlantic Region,2016A00011,Average expenditure per household,Child care outside the home,Dollars,417
2010,Atlantic Region,2016A00011,Average expenditure per household,Child care in the home (regular and occasional),Dollars,71
