Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1975,Manitoba,Provincial Government,Physicians,"64,448,500",63
1976,Manitoba,Provincial Government,Physicians,"72,693,250",70
1977,Manitoba,Provincial Government,Physicians,"78,711,750",76
1978,Manitoba,Provincial Government,Physicians,"90,573,250",87
1979,Manitoba,Provincial Government,Physicians,"103,166,250",99
1980,Manitoba,Provincial Government,Physicians,"114,283,000",110
1981,Manitoba,Provincial Government,Physicians,"137,343,750",133
1982,Manitoba,Provincial Government,Physicians,"155,760,500",149
1983,Manitoba,Provincial Government,Physicians,"168,075,250",159
1984,Manitoba,Provincial Government,Physicians,"177,288,500",165
1985,Manitoba,Provincial Government,Physicians,"188,404,000",174
1986,Manitoba,Provincial Government,Physicians,"206,114,500",189
1987,Manitoba,Provincial Government,Physicians,"221,355,750",202
1988,Manitoba,Provincial Government,Physicians,"227,192,750",206
1989,Manitoba,Provincial Government,Physicians,"242,053,250",219
1990,Manitoba,Provincial Government,Physicians,"251,678,250",228
1991,Manitoba,Provincial Government,Physicians,"278,386,000",251
1992,Manitoba,Provincial Government,Physicians,"285,283,500",256
1993,Manitoba,Provincial Government,Physicians,"286,545,650",256
1994,Manitoba,Provincial Government,Physicians,"279,188,850",249
1995,Manitoba,Provincial Government,Physicians,"272,604,375",241
1996,Manitoba,Provincial Government,Physicians,"320,767,025",283
1997,Manitoba,Provincial Government,Physicians,"349,226,025",307
1998,Manitoba,Provincial Government,Physicians,"381,678,200",336
1999,Manitoba,Provincial Government,Physicians,"423,870,325",371
2000,Manitoba,Provincial Government,Physicians,"467,256,775",407
2001,Manitoba,Provincial Government,Physicians,"504,669,000",438
2002,Manitoba,Provincial Government,Physicians,"533,207,900",461
2003,Manitoba,Provincial Government,Physicians,"573,323,510",493
2004,Manitoba,Provincial Government,Physicians,"616,686,137",526
2005,Manitoba,Provincial Government,Physicians,"666,125,014",565
2006,Manitoba,Provincial Government,Physicians,"715,894,600",605
2007,Manitoba,Provincial Government,Physicians,"747,497,075",628
2008,Manitoba,Provincial Government,Physicians,"805,367,175",672
2009,Manitoba,Provincial Government,Physicians,"855,600,300",708
2010,Manitoba,Provincial Government,Physicians,"922,592,975",756
2011,Manitoba,Provincial Government,Physicians,"947,212,575",768
2012,Manitoba,Provincial Government,Physicians,"995,503,000",796
2013,Manitoba,Provincial Government,Physicians,"1,085,036,641",858
2014,Manitoba,Provincial Government,Physicians,"1,161,212,380",908
2015,Manitoba,Provincial Government,Physicians,"1,222,170,250",946
2016,Manitoba,Provincial Government,Physicians,"1,297,135,250",987
2017,Manitoba,Provincial Government,Physicians,"1,288,797,500",965
2018,Manitoba,Provincial Government,Physicians,"1,372,773,750","1,015"
2019,Manitoba,Provincial Government,Physicians,"1,398,188,250","1,024"
1975,Manitoba,Provincial Government,Other Professionals,"4,992,695",5
1976,Manitoba,Provincial Government,Other Professionals,"6,079,071",6
1977,Manitoba,Provincial Government,Other Professionals,"7,578,816",7
1978,Manitoba,Provincial Government,Other Professionals,"8,809,300",8
1979,Manitoba,Provincial Government,Other Professionals,"10,124,716",10
1980,Manitoba,Provincial Government,Other Professionals,"12,025,756",12
1981,Manitoba,Provincial Government,Other Professionals,"13,683,250",13
1982,Manitoba,Provincial Government,Other Professionals,"16,688,720",16
1983,Manitoba,Provincial Government,Other Professionals,"18,286,240",17
1984,Manitoba,Provincial Government,Other Professionals,"19,550,750",18
1985,Manitoba,Provincial Government,Other Professionals,"20,240,750",19
1986,Manitoba,Provincial Government,Other Professionals,"21,056,750",19
1987,Manitoba,Provincial Government,Other Professionals,"20,677,250",19
1988,Manitoba,Provincial Government,Other Professionals,"21,057,250",19
1989,Manitoba,Provincial Government,Other Professionals,"21,373,964",19
1990,Manitoba,Provincial Government,Other Professionals,"17,781,155",16
1991,Manitoba,Provincial Government,Other Professionals,"17,322,250",16
1992,Manitoba,Provincial Government,Other Professionals,"19,774,185",18
1993,Manitoba,Provincial Government,Other Professionals,"20,092,187",18
1994,Manitoba,Provincial Government,Other Professionals,"19,776,156",18
1995,Manitoba,Provincial Government,Other Professionals,"20,696,749",18
1996,Manitoba,Provincial Government,Other Professionals,"17,804,083",16
1997,Manitoba,Provincial Government,Other Professionals,"16,625,730",15
1998,Manitoba,Provincial Government,Other Professionals,"16,809,685",15
1999,Manitoba,Provincial Government,Other Professionals,"17,769,739",16
2000,Manitoba,Provincial Government,Other Professionals,"18,320,480",16
2001,Manitoba,Provincial Government,Other Professionals,"20,510,750",18
2002,Manitoba,Provincial Government,Other Professionals,"17,910,775",15
2003,Manitoba,Provincial Government,Other Professionals,"17,688,975",15
2004,Manitoba,Provincial Government,Other Professionals,"18,309,500",16
2005,Manitoba,Provincial Government,Other Professionals,"20,197,700",17
2006,Manitoba,Provincial Government,Other Professionals,"20,814,550",18
2007,Manitoba,Provincial Government,Other Professionals,"22,309,600",19
2008,Manitoba,Provincial Government,Other Professionals,"23,199,125",19
2009,Manitoba,Provincial Government,Other Professionals,"25,570,350",21
2010,Manitoba,Provincial Government,Other Professionals,"28,706,500",24
2011,Manitoba,Provincial Government,Other Professionals,"31,011,250",25
2012,Manitoba,Provincial Government,Other Professionals,"30,917,000",25
2013,Manitoba,Provincial Government,Other Professionals,"32,875,750",26
2014,Manitoba,Provincial Government,Other Professionals,"36,685,750",29
2015,Manitoba,Provincial Government,Other Professionals,"38,275,500",30
2016,Manitoba,Provincial Government,Other Professionals,"40,127,750",31
2017,Manitoba,Provincial Government,Other Professionals,"38,406,000",29
2018,Manitoba,Provincial Government,Other Professionals,"39,270,000",29
2019,Manitoba,Provincial Government,Other Professionals,"40,495,000",30
1975,Manitoba,Provincial Government,Drugs,"5,517,991",5
1976,Manitoba,Provincial Government,Drugs,"7,535,029",7
1977,Manitoba,Provincial Government,Drugs,"8,427,500",8
1978,Manitoba,Provincial Government,Drugs,"10,036,500",10
1979,Manitoba,Provincial Government,Drugs,"10,990,500",11
1980,Manitoba,Provincial Government,Drugs,"12,726,250",12
1981,Manitoba,Provincial Government,Drugs,"15,681,250",15
1982,Manitoba,Provincial Government,Drugs,"19,823,250",19
1983,Manitoba,Provincial Government,Drugs,"24,551,250",23
1984,Manitoba,Provincial Government,Drugs,"29,217,500",27
1985,Manitoba,Provincial Government,Drugs,"32,450,750",30
1986,Manitoba,Provincial Government,Drugs,"34,581,000",32
1987,Manitoba,Provincial Government,Drugs,"42,254,750",38
1988,Manitoba,Provincial Government,Drugs,"47,494,750",43
1989,Manitoba,Provincial Government,Drugs,"45,529,000",41
1990,Manitoba,Provincial Government,Drugs,"48,503,000",44
1991,Manitoba,Provincial Government,Drugs,"55,429,500",50
1992,Manitoba,Provincial Government,Drugs,"68,123,872",61
1993,Manitoba,Provincial Government,Drugs,"68,060,566",61
1994,Manitoba,Provincial Government,Drugs,"61,142,377",54
1995,Manitoba,Provincial Government,Drugs,"79,592,533",70
1996,Manitoba,Provincial Government,Drugs,"73,759,400",65
1997,Manitoba,Provincial Government,Drugs,"73,713,975",65
1998,Manitoba,Provincial Government,Drugs,"85,894,075",76
1999,Manitoba,Provincial Government,Drugs,"105,598,150",92
2000,Manitoba,Provincial Government,Drugs,"130,925,525",114
2001,Manitoba,Provincial Government,Drugs,"160,836,050",140
2002,Manitoba,Provincial Government,Drugs,"189,617,175",164
2003,Manitoba,Provincial Government,Drugs,"217,712,050",187
2004,Manitoba,Provincial Government,Drugs,"234,569,475",200
2005,Manitoba,Provincial Government,Drugs,"249,519,325",212
2006,Manitoba,Provincial Government,Drugs,"260,225,975",220
2007,Manitoba,Provincial Government,Drugs,"271,645,025",228
2008,Manitoba,Provincial Government,Drugs,"279,560,775",233
2009,Manitoba,Provincial Government,Drugs,"287,159,000",238
2010,Manitoba,Provincial Government,Drugs,"294,956,750",242
2011,Manitoba,Provincial Government,Drugs,"306,081,000",248
2012,Manitoba,Provincial Government,Drugs,"304,683,000",244
2013,Manitoba,Provincial Government,Drugs,"300,229,000",237
2014,Manitoba,Provincial Government,Drugs,"303,773,000",238
2015,Manitoba,Provincial Government,Drugs,"324,300,250",251
2016,Manitoba,Provincial Government,Drugs,"333,971,250",254
2017,Manitoba,Provincial Government,Drugs,"342,839,250",257
2018,Manitoba,Provincial Government,Drugs,"334,175,000",247
2019,Manitoba,Provincial Government,Drugs,"341,315,750",250
1975,Manitoba,Provincial Government,Capital,"301,000",0
1976,Manitoba,Provincial Government,Capital,"341,250",0
1977,Manitoba,Provincial Government,Capital,"124,000",0
1978,Manitoba,Provincial Government,Capital,"917,500",1
1979,Manitoba,Provincial Government,Capital,"2,375,750",2
1980,Manitoba,Provincial Government,Capital,"3,439,500",3
1981,Manitoba,Provincial Government,Capital,"3,376,000",3
1982,Manitoba,Provincial Government,Capital,"14,637,520",14
1983,Manitoba,Provincial Government,Capital,"21,286,590",20
1984,Manitoba,Provincial Government,Capital,"21,676,250",20
1985,Manitoba,Provincial Government,Capital,"24,806,000",23
1986,Manitoba,Provincial Government,Capital,"27,020,500",25
1987,Manitoba,Provincial Government,Capital,"31,843,500",29
1988,Manitoba,Provincial Government,Capital,"42,874,398",39
1989,Manitoba,Provincial Government,Capital,"49,401,751",45
1990,Manitoba,Provincial Government,Capital,"81,420,131",74
1991,Manitoba,Provincial Government,Capital,"82,175,930",74
1992,Manitoba,Provincial Government,Capital,"70,014,442",63
1993,Manitoba,Provincial Government,Capital,"48,852,079",44
1994,Manitoba,Provincial Government,Capital,"39,021,250",35
1995,Manitoba,Provincial Government,Capital,"35,377,174",31
1996,Manitoba,Provincial Government,Capital,"40,529,904",36
1997,Manitoba,Provincial Government,Capital,"62,498,257",55
1998,Manitoba,Provincial Government,Capital,"64,265,087",56
1999,Manitoba,Provincial Government,Capital,"121,243,094",106
2000,Manitoba,Provincial Government,Capital,"133,732,044",117
2001,Manitoba,Provincial Government,Capital,"110,030,387",96
2002,Manitoba,Provincial Government,Capital,"102,190,608",88
2003,Manitoba,Provincial Government,Capital,"155,063,536",133
2004,Manitoba,Provincial Government,Capital,"160,441,989",137
2005,Manitoba,Provincial Government,Capital,"201,737,569",171
2006,Manitoba,Provincial Government,Capital,"190,342,541",161
2007,Manitoba,Provincial Government,Capital,"140,386,740",118
2008,Manitoba,Provincial Government,Capital,"114,406,077",96
2009,Manitoba,Provincial Government,Capital,"214,317,680",177
2010,Manitoba,Provincial Government,Capital,"196,997,238",161
2011,Manitoba,Provincial Government,Capital,"245,301,458",199
2012,Manitoba,Provincial Government,Capital,"344,523,346",276
2013,Manitoba,Provincial Government,Capital,"334,831,492",265
2014,Manitoba,Provincial Government,Capital,"160,478,316",125
2015,Manitoba,Provincial Government,Capital,"191,843,389",148
2016,Manitoba,Provincial Government,Capital,"64,650,414",49
2017,Manitoba,Provincial Government,Capital,"132,909,016",100
2018,Manitoba,Provincial Government,Capital,"98,377,388",73
2019,Manitoba,Provincial Government,Capital,"83,125,416",61
1975,Manitoba,Provincial Government,Public Health,"11,687,260",11
1976,Manitoba,Provincial Government,Public Health,"20,817,936",20
1977,Manitoba,Provincial Government,Public Health,"25,693,196",25
1978,Manitoba,Provincial Government,Public Health,"27,267,359",26
1979,Manitoba,Provincial Government,Public Health,"26,597,825",26
1980,Manitoba,Provincial Government,Public Health,"30,011,346",29
1981,Manitoba,Provincial Government,Public Health,"35,471,750",34
1982,Manitoba,Provincial Government,Public Health,"33,680,571",32
1983,Manitoba,Provincial Government,Public Health,"35,196,836",33
1984,Manitoba,Provincial Government,Public Health,"37,232,441",35
1985,Manitoba,Provincial Government,Public Health,"41,348,447",38
1986,Manitoba,Provincial Government,Public Health,"46,022,726",42
1987,Manitoba,Provincial Government,Public Health,"49,256,500",45
1988,Manitoba,Provincial Government,Public Health,"53,001,000",48
1989,Manitoba,Provincial Government,Public Health,"61,098,265",55
1990,Manitoba,Provincial Government,Public Health,"68,681,172",62
1991,Manitoba,Provincial Government,Public Health,"70,197,750",63
1992,Manitoba,Provincial Government,Public Health,"72,765,250",65
1993,Manitoba,Provincial Government,Public Health,"72,546,575",65
1994,Manitoba,Provincial Government,Public Health,"83,252,350",74
1995,Manitoba,Provincial Government,Public Health,"86,781,539",77
1996,Manitoba,Provincial Government,Public Health,"89,300,960",79
1997,Manitoba,Provincial Government,Public Health,"86,573,941",76
1998,Manitoba,Provincial Government,Public Health,"91,957,553",81
1999,Manitoba,Provincial Government,Public Health,"135,074,443",118
2000,Manitoba,Provincial Government,Public Health,"163,383,954",142
2001,Manitoba,Provincial Government,Public Health,"157,378,326",137
2002,Manitoba,Provincial Government,Public Health,"151,060,583",131
2003,Manitoba,Provincial Government,Public Health,"179,720,226",154
2004,Manitoba,Provincial Government,Public Health,"203,838,167",174
2005,Manitoba,Provincial Government,Public Health,"226,794,226",192
2006,Manitoba,Provincial Government,Public Health,"242,592,466",205
2007,Manitoba,Provincial Government,Public Health,"257,440,023",216
2008,Manitoba,Provincial Government,Public Health,"283,066,850",236
2009,Manitoba,Provincial Government,Public Health,"307,780,444",255
2010,Manitoba,Provincial Government,Public Health,"319,561,900",262
2011,Manitoba,Provincial Government,Public Health,"330,352,430",268
2012,Manitoba,Provincial Government,Public Health,"344,724,272",276
2013,Manitoba,Provincial Government,Public Health,"360,937,044",285
2014,Manitoba,Provincial Government,Public Health,"383,237,510",300
2015,Manitoba,Provincial Government,Public Health,"428,110,027",331
2016,Manitoba,Provincial Government,Public Health,"436,377,197",332
2017,Manitoba,Provincial Government,Public Health,"444,805,387",333
2018,Manitoba,Provincial Government,Public Health,"457,541,495",338
2019,Manitoba,Provincial Government,Public Health,"463,109,620",339
1975,Manitoba,Provincial Government,Administration,"8,501,590",8
1976,Manitoba,Provincial Government,Administration,"9,119,613",9
1977,Manitoba,Provincial Government,Administration,"9,525,250",9
1978,Manitoba,Provincial Government,Administration,"9,613,750",9
1979,Manitoba,Provincial Government,Administration,"9,661,000",9
1980,Manitoba,Provincial Government,Administration,"10,200,500",10
1981,Manitoba,Provincial Government,Administration,"10,608,000",10
1982,Manitoba,Provincial Government,Administration,"13,077,750",13
1983,Manitoba,Provincial Government,Administration,"14,856,000",14
1984,Manitoba,Provincial Government,Administration,"16,511,250",15
1985,Manitoba,Provincial Government,Administration,"17,508,250",16
1986,Manitoba,Provincial Government,Administration,"18,629,750",17
1987,Manitoba,Provincial Government,Administration,"18,761,250",17
1988,Manitoba,Provincial Government,Administration,"19,477,250",18
1989,Manitoba,Provincial Government,Administration,"22,478,000",20
1990,Manitoba,Provincial Government,Administration,"30,008,500",27
1991,Manitoba,Provincial Government,Administration,"23,189,250",21
1992,Manitoba,Provincial Government,Administration,"20,364,075",18
1993,Manitoba,Provincial Government,Administration,"25,345,550",23
1994,Manitoba,Provincial Government,Administration,"25,107,025",22
1995,Manitoba,Provincial Government,Administration,"24,259,357",21
1996,Manitoba,Provincial Government,Administration,"24,850,837",22
1997,Manitoba,Provincial Government,Administration,"26,105,012",23
1998,Manitoba,Provincial Government,Administration,"29,366,335",26
1999,Manitoba,Provincial Government,Administration,"52,457,210",46
2000,Manitoba,Provincial Government,Administration,"42,265,216",37
2001,Manitoba,Provincial Government,Administration,"36,923,777",32
2002,Manitoba,Provincial Government,Administration,"43,006,786",37
2003,Manitoba,Provincial Government,Administration,"48,226,025",41
2004,Manitoba,Provincial Government,Administration,"49,572,975",42
2005,Manitoba,Provincial Government,Administration,"45,577,850",39
2006,Manitoba,Provincial Government,Administration,"45,728,650",39
2007,Manitoba,Provincial Government,Administration,"43,385,600",36
2008,Manitoba,Provincial Government,Administration,"42,655,150",36
2009,Manitoba,Provincial Government,Administration,"50,691,390",42
2010,Manitoba,Provincial Government,Administration,"53,018,276",43
2011,Manitoba,Provincial Government,Administration,"53,537,168",43
2012,Manitoba,Provincial Government,Administration,"56,467,038",45
2013,Manitoba,Provincial Government,Administration,"55,493,851",44
2014,Manitoba,Provincial Government,Administration,"54,698,448",43
2015,Manitoba,Provincial Government,Administration,"54,538,016",42
2016,Manitoba,Provincial Government,Administration,"51,643,690",39
2017,Manitoba,Provincial Government,Administration,"52,475,873",39
2018,Manitoba,Provincial Government,Administration,"54,592,000",40
2019,Manitoba,Provincial Government,Administration,"56,384,500",41
1975,Manitoba,Provincial Government,Other Health Spending,"8,620,560",8
1976,Manitoba,Provincial Government,Other Health Spending,"10,987,426",11
1977,Manitoba,Provincial Government,Other Health Spending,"12,489,363",12
1978,Manitoba,Provincial Government,Other Health Spending,"11,795,036",11
1979,Manitoba,Provincial Government,Other Health Spending,"13,018,256",13
1980,Manitoba,Provincial Government,Other Health Spending,"16,152,253",16
1981,Manitoba,Provincial Government,Other Health Spending,"19,518,750",19
1982,Manitoba,Provincial Government,Other Health Spending,"24,474,439",23
1983,Manitoba,Provincial Government,Other Health Spending,"28,009,730",26
1984,Manitoba,Provincial Government,Other Health Spending,"31,403,750",29
1985,Manitoba,Provincial Government,Other Health Spending,"37,164,750",34
1986,Manitoba,Provincial Government,Other Health Spending,"44,188,750",40
1987,Manitoba,Provincial Government,Other Health Spending,"48,608,000",44
1988,Manitoba,Provincial Government,Other Health Spending,"52,993,250",48
1989,Manitoba,Provincial Government,Other Health Spending,"79,303,021",72
1990,Manitoba,Provincial Government,Other Health Spending,"94,329,424",85
1991,Manitoba,Provincial Government,Other Health Spending,"97,277,000",88
1992,Manitoba,Provincial Government,Other Health Spending,"93,927,750",84
1993,Manitoba,Provincial Government,Other Health Spending,"95,022,900",85
1994,Manitoba,Provincial Government,Other Health Spending,"100,772,675",90
1995,Manitoba,Provincial Government,Other Health Spending,"115,641,745",102
1996,Manitoba,Provincial Government,Other Health Spending,"132,227,613",117
1997,Manitoba,Provincial Government,Other Health Spending,"146,339,520",129
1998,Manitoba,Provincial Government,Other Health Spending,"157,225,190",138
1999,Manitoba,Provincial Government,Other Health Spending,"179,026,746",157
2000,Manitoba,Provincial Government,Other Health Spending,"203,241,194",177
2001,Manitoba,Provincial Government,Other Health Spending,"216,076,573",188
2002,Manitoba,Provincial Government,Other Health Spending,"230,988,518",200
2003,Manitoba,Provincial Government,Other Health Spending,"237,001,825",204
2004,Manitoba,Provincial Government,Other Health Spending,"254,233,900",217
2005,Manitoba,Provincial Government,Other Health Spending,"274,976,975",233
2006,Manitoba,Provincial Government,Other Health Spending,"288,704,025",244
2007,Manitoba,Provincial Government,Other Health Spending,"318,231,100",268
2008,Manitoba,Provincial Government,Other Health Spending,"345,494,300",288
2009,Manitoba,Provincial Government,Other Health Spending,"371,435,500",307
2010,Manitoba,Provincial Government,Other Health Spending,"387,922,000",318
2011,Manitoba,Provincial Government,Other Health Spending,"408,396,250",331
2012,Manitoba,Provincial Government,Other Health Spending,"462,598,407",370
2013,Manitoba,Provincial Government,Other Health Spending,"492,103,770",389
2014,Manitoba,Provincial Government,Other Health Spending,"513,060,340",401
2015,Manitoba,Provincial Government,Other Health Spending,"542,022,704",419
2016,Manitoba,Provincial Government,Other Health Spending,"556,419,285",423
2017,Manitoba,Provincial Government,Other Health Spending,"590,984,272",443
2018,Manitoba,Provincial Government,Other Health Spending,"604,678,065",447
2019,Manitoba,Provincial Government,Other Health Spending,"609,488,799",446
1975,Manitoba,Provincial Government,Total,"376,699,250",368
1976,Manitoba,Provincial Government,Total,"449,322,250",435
1977,Manitoba,Provincial Government,Total,"497,274,500",479
1978,Manitoba,Provincial Government,Total,"524,926,750",504
1979,Manitoba,Provincial Government,Total,"569,729,250",549
1980,Manitoba,Provincial Government,Total,"652,800,750",631
1981,Manitoba,Provincial Government,Total,"782,903,000",756
1982,Manitoba,Provincial Government,Total,"915,063,750",875
1983,Manitoba,Provincial Government,Total,"1,021,261,750",964
1984,Manitoba,Provincial Government,Total,"1,102,108,000","1,028"
1985,Manitoba,Provincial Government,Total,"1,182,625,000","1,092"
1986,Manitoba,Provincial Government,Total,"1,269,639,000","1,163"
1987,Manitoba,Provincial Government,Total,"1,364,754,500","1,243"
1988,Manitoba,Provincial Government,Total,"1,464,710,398","1,329"
1989,Manitoba,Provincial Government,Total,"1,586,968,501","1,438"
1990,Manitoba,Provincial Government,Total,"1,742,763,631","1,577"
1991,Manitoba,Provincial Government,Total,"1,788,748,180","1,612"
1992,Manitoba,Provincial Government,Total,"1,867,817,074","1,679"
1993,Manitoba,Provincial Government,Total,"1,856,797,831","1,661"
1994,Manitoba,Provincial Government,Total,"1,861,878,758","1,658"
1995,Manitoba,Provincial Government,Total,"1,903,358,381","1,686"
1996,Manitoba,Provincial Government,Total,"1,922,773,386","1,695"
1997,Manitoba,Provincial Government,Total,"1,976,562,537","1,740"
1998,Manitoba,Provincial Government,Total,"2,102,810,497","1,849"
1999,Manitoba,Provincial Government,Total,"2,395,273,026","2,097"
2000,Manitoba,Provincial Government,Total,"2,630,834,726","2,293"
2001,Manitoba,Provincial Government,Total,"2,794,074,337","2,427"
2002,Manitoba,Provincial Government,Total,"2,964,413,674","2,563"
2003,Manitoba,Provincial Government,Total,"3,220,493,106","2,768"
2004,Manitoba,Provincial Government,Total,"3,436,355,992","2,929"
2005,Manitoba,Provincial Government,Total,"3,698,240,175","3,139"
2006,Manitoba,Provincial Government,Total,"3,906,551,632","3,301"
2007,Manitoba,Provincial Government,Total,"4,115,124,563","3,460"
2008,Manitoba,Provincial Government,Total,"4,427,863,952","3,697"
2009,Manitoba,Provincial Government,Total,"4,811,208,539","3,981"
2010,Manitoba,Provincial Government,Total,"5,024,127,363","4,116"
2011,Manitoba,Provincial Government,Total,"5,249,799,531","4,256"
2012,Manitoba,Provincial Government,Total,"5,566,222,488","4,453"
2013,Manitoba,Provincial Government,Total,"5,778,421,872","4,569"
2014,Manitoba,Provincial Government,Total,"5,776,579,443","4,516"
2015,Manitoba,Provincial Government,Total,"6,099,886,661","4,720"
2016,Manitoba,Provincial Government,Total,"6,172,447,433","4,697"
2017,Manitoba,Provincial Government,Total,"6,355,337,852","4,759"
2018,Manitoba,Provincial Government,Total,"6,469,887,400","4,785"
2019,Manitoba,Provincial Government,Total,"6,538,445,898","4,787"
1975,Saskatchewan,Provincial Government,Hospitals,"177,005,250",193
1976,Saskatchewan,Provincial Government,Hospitals,"218,629,000",235
1977,Saskatchewan,Provincial Government,Hospitals,"246,479,250",261
1978,Saskatchewan,Provincial Government,Hospitals,"259,126,500",272
1979,Saskatchewan,Provincial Government,Hospitals,"280,905,500",293
1980,Saskatchewan,Provincial Government,Hospitals,"330,678,500",342
1981,Saskatchewan,Provincial Government,Hospitals,"364,465,500",374
1982,Saskatchewan,Provincial Government,Hospitals,"421,338,750",427
1983,Saskatchewan,Provincial Government,Hospitals,"464,639,000",464
1984,Saskatchewan,Provincial Government,Hospitals,"491,616,250",485
1985,Saskatchewan,Provincial Government,Hospitals,"514,014,250",502
1986,Saskatchewan,Provincial Government,Hospitals,"544,809,500",530
1987,Saskatchewan,Provincial Government,Hospitals,"555,148,000",538
1988,Saskatchewan,Provincial Government,Hospitals,"578,595,250",563
1989,Saskatchewan,Provincial Government,Hospitals,"631,052,500",619
1990,Saskatchewan,Provincial Government,Hospitals,"688,523,500",683
1991,Saskatchewan,Provincial Government,Hospitals,"713,644,000",712
1992,Saskatchewan,Provincial Government,Hospitals,"705,200,000",702
1993,Saskatchewan,Provincial Government,Hospitals,"686,613,545",682
1994,Saskatchewan,Provincial Government,Hospitals,"647,992,903",642
1995,Saskatchewan,Provincial Government,Hospitals,"625,420,489",617
1996,Saskatchewan,Provincial Government,Hospitals,"636,322,432",624
1997,Saskatchewan,Provincial Government,Hospitals,"649,729,820",638
1998,Saskatchewan,Provincial Government,Hospitals,"688,924,713",677
1999,Saskatchewan,Provincial Government,Hospitals,"758,472,557",748
2000,Saskatchewan,Provincial Government,Hospitals,"813,145,753",807
2001,Saskatchewan,Provincial Government,Hospitals,"877,062,087",877
2002,Saskatchewan,Provincial Government,Hospitals,"940,763,294",944
2003,Saskatchewan,Provincial Government,Hospitals,"970,317,485",974
2004,Saskatchewan,Provincial Government,Hospitals,"1,034,960,767","1,038"
2005,Saskatchewan,Provincial Government,Hospitals,"1,120,412,347","1,128"
2006,Saskatchewan,Provincial Government,Hospitals,"1,217,278,631","1,227"
2007,Saskatchewan,Provincial Government,Hospitals,"1,299,827,906","1,297"
2008,Saskatchewan,Provincial Government,Hospitals,"1,406,209,199","1,382"
2009,Saskatchewan,Provincial Government,Hospitals,"1,515,443,609","1,464"
2010,Saskatchewan,Provincial Government,Hospitals,"1,669,515,476","1,588"
2011,Saskatchewan,Provincial Government,Hospitals,"1,733,671,103","1,626"
2012,Saskatchewan,Provincial Government,Hospitals,"1,812,399,635","1,672"
2013,Saskatchewan,Provincial Government,Hospitals,"1,871,962,130","1,702"
2014,Saskatchewan,Provincial Government,Hospitals,"1,919,335,343","1,725"
2015,Saskatchewan,Provincial Government,Hospitals,"1,945,561,618","1,736"
2016,Saskatchewan,Provincial Government,Hospitals,"1,985,950,318","1,748"
2017,Saskatchewan,Provincial Government,Hospitals,"2,029,461,988","1,764"
2018,Saskatchewan,Provincial Government,Hospitals,"2,050,470,860","1,765"
2019,Saskatchewan,Provincial Government,Hospitals,"2,103,547,951","1,799"
1975,Saskatchewan,Provincial Government,Other Institutions,"20,154,000",22
1976,Saskatchewan,Provincial Government,Other Institutions,"22,346,500",24
1977,Saskatchewan,Provincial Government,Other Institutions,"24,346,500",26
1978,Saskatchewan,Provincial Government,Other Institutions,"28,497,000",30
1979,Saskatchewan,Provincial Government,Other Institutions,"43,213,314",45
1980,Saskatchewan,Provincial Government,Other Institutions,"54,161,771",56
1981,Saskatchewan,Provincial Government,Other Institutions,"88,110,500",90
1982,Saskatchewan,Provincial Government,Other Institutions,"134,299,750",136
1983,Saskatchewan,Provincial Government,Other Institutions,"163,041,750",163
1984,Saskatchewan,Provincial Government,Other Institutions,"169,014,500",167
1985,Saskatchewan,Provincial Government,Other Institutions,"177,780,500",173
1986,Saskatchewan,Provincial Government,Other Institutions,"197,290,000",192
1987,Saskatchewan,Provincial Government,Other Institutions,"212,168,000",205
1988,Saskatchewan,Provincial Government,Other Institutions,"217,654,500",212
1989,Saskatchewan,Provincial Government,Other Institutions,"232,576,750",228
1990,Saskatchewan,Provincial Government,Other Institutions,"244,700,750",243
1991,Saskatchewan,Provincial Government,Other Institutions,"254,179,250",253
1992,Saskatchewan,Provincial Government,Other Institutions,"258,134,250",257
1993,Saskatchewan,Provincial Government,Other Institutions,"255,786,095",254
1994,Saskatchewan,Provincial Government,Other Institutions,"269,172,285",267
1995,Saskatchewan,Provincial Government,Other Institutions,"269,142,573",265
1996,Saskatchewan,Provincial Government,Other Institutions,"270,697,420",266
1997,Saskatchewan,Provincial Government,Other Institutions,"276,172,522",271
1998,Saskatchewan,Provincial Government,Other Institutions,"281,502,980",277
1999,Saskatchewan,Provincial Government,Other Institutions,"301,126,059",297
2000,Saskatchewan,Provincial Government,Other Institutions,"335,748,224",333
2001,Saskatchewan,Provincial Government,Other Institutions,"347,937,579",348
2002,Saskatchewan,Provincial Government,Other Institutions,"364,707,942",366
2003,Saskatchewan,Provincial Government,Other Institutions,"397,397,506",399
2004,Saskatchewan,Provincial Government,Other Institutions,"420,333,760",421
2005,Saskatchewan,Provincial Government,Other Institutions,"450,944,962",454
2006,Saskatchewan,Provincial Government,Other Institutions,"487,414,443",491
2007,Saskatchewan,Provincial Government,Other Institutions,"523,806,754",523
2008,Saskatchewan,Provincial Government,Other Institutions,"553,483,360",544
2009,Saskatchewan,Provincial Government,Other Institutions,"581,986,843",562
2010,Saskatchewan,Provincial Government,Other Institutions,"638,267,188",607
2011,Saskatchewan,Provincial Government,Other Institutions,"636,759,085",597
2012,Saskatchewan,Provincial Government,Other Institutions,"670,683,203",619
2013,Saskatchewan,Provincial Government,Other Institutions,"732,066,615",666
2014,Saskatchewan,Provincial Government,Other Institutions,"746,007,603",670
